Chamber,DistrictNumber,DistrictLabel,CandName,CandidateStatus,Party,CommitteeName,AcceptedVSL,ListingStatus,BegFundsOnHand,MonetaryContributions,MonetaryExpenditures,LoansReceived,LoanPayments,EndFundsOnHand,NonMonetaryContributions,NonMonetaryExpenditures
Senate,1,Senate District 01,"BARRY, MICHAEL W",Active,Unknown,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,1,Senate District 01,"PELTON, BYRON",Active,Republican,PELTON FOR STATE SENATE,No,Active,18926.4200,23542.5000,35766.9800,0.0000,0.0000,6701.9400,0.0000,0.0000
Senate,1,Senate District 01,"RAYMOND, ERIC",Terminated,Democratic,ERICRAYMOND2026,Yes,Terminated,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,3,Senate District 03,"CHARLES, DANA",Active,Republican,DANA CHARLES FOR COLORADO,No,Active,0.0000,51814.0400,13658.9200,0.0000,0.0000,38155.1200,1050.4400,0.0000
Senate,3,Senate District 03,"GUTIERREZ, AARON",Active,Democratic,AARON GUTIERREZ FOR PUEBLO,No,Active,0.0000,14400.2100,11600.2100,50.0000,0.0000,2850.0000,3835.9900,0.0000
Senate,3,Senate District 03,"HINRICHSEN, NICK",Active,Democratic,COMMITTEE TO RE-ELECT NICK HINRICHSEN,No,Active,-1201.4700,6752.8900,5551.4200,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,3,Senate District 03,"PERKO, CHARLES ANDREW",Active,Democratic,COMMITTEE TO ELECT CHARLES PERKO,No,Active,0.0000,2055.0000,1014.7100,700.0000,0.0000,1740.2900,50.0000,0.0000
Senate,3,Senate District 03,"VOSS, TAYLOR",Active,Democratic,TAYLOR VOSS FOR STATE SENATE DISTRICT 3,No,Active,0.0000,24595.5400,3438.1800,0.0000,0.0000,21157.3600,991.0300,0.0000
Senate,4,Senate District 04,"COLLINS III, TED (TEDDY)",Active,Republican,COLLINS FOR COLORADO,No,Active,0.0000,982.7600,305.8400,50000.0000,0.0000,50676.9200,0.0000,0.0000
Senate,4,Senate District 04,"CONRAD, KEVIN",Active,Republican,CITIZENS TO ELECT KEVIN CONRAD,Yes,Active,0.0000,6655.0000,2067.6100,9500.0000,0.0000,14087.3900,0.0000,0.0000
Senate,4,Senate District 04,"JAMES, JENNIFER L",Active,Republican,None,Yes,Active,0.0000,0.0000,234.7400,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,4,Senate District 04,"LIVINGSTON, NICOLAS",Active,Democratic,LIVINGSTON FOR COLORADO SENATE DISTRICT 4,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,4,Senate District 04,"RAVAGE, JEFFREY LANCE",Active,Democratic,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,7,Senate District 07,"RICH, JANICE",Active,Republican,CITIZENS TO ELECT JANICE RICH,No,Active,28253.5700,11745.0000,5460.0800,0.0000,0.0000,34538.4900,0.0000,0.0000
Senate,8,Senate District 08,"ROBERTS, DYLAN",Active,Democratic,DYLAN ROBERTS FOR COLORADO,No,Active,5154.4000,91500.8800,19403.7400,0.0000,0.0000,77251.5400,100.0000,0.0000
Senate,9,Senate District 09,"CARVER, TERRI",Active,Republican,CARVER FOR COLORADO,No,Active,0.0000,34224.9900,1885.4800,17000.0000,0.0000,49339.5100,7757.6800,0.0000
Senate,9,Senate District 09,"WILSON, LYNDA ZAMORA",Active,Republican,ZAMORA FOR COLORADO,No,Active,29647.8200,1555.0000,2348.9800,208.9800,12404.0000,16658.8200,0.0000,0.0000
Senate,11,Senate District 11,"EXUM SR., THOMAS E",Active,Democratic,ELECT THOMAS TONY EXUM,No,Active,25147.1800,48441.4100,40190.0900,0.0000,0.0000,33398.5000,0.0000,0.0000
Senate,11,Senate District 11,"RAZO, NICKOLAS TRENT",Active,Republican,RAZO FOR COLORADO,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,11,Senate District 11,"STILSON, LEVON BLAIR",Active,Republican,STILSON FOR SENATE DISTRICT 11,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,11,Senate District 11,"TISDALE, MARK",Active,Republican,MARK TISDALE FOR SENATE DISTRICT 11,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,15,Senate District 15,"MARCHMAN, JANICE MALLORY",Active,Democratic,JANICE MARCHMAN FOR COLORADO,No,Active,5799.9800,42660.7900,26590.2800,400.0000,1000.0000,21270.4900,0.0000,0.0000
